Probenkennz.	ALMg3	
Datum	21.11.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	2590,2	N
Probenhoehe a0	0,99	mm
Probenbreite b0	13,01	mm
Laege l0	70	mm
Probenhe aU NACH ZUGVERSUCH	0,78	mm
Probenbreite bU NACH ZUGVERSUCH	11,41	mm
Laege lU NACH ZUGVERSUCH	79,1	mm
Standardweg	Standardkraft	
mm	N	
0,000916856	5,246944	
0,002417175	9,83472	
0,0041652	14,89712	
0,006047685	20,38136	
0,00800094	27,31576	
0,00997542	35,48944	
0,01196406	43,8476	
0,013959765	51,88944	
0,01594845	59,90488	
0,0180786	68,65856	
0,0199398	77,2804	
0,02194965	87,2208	
0,02395245	97,5824	
0,02595525	107,7072	
0,027951	118,1224	
0,02994675	128,8272	
0,03194955	140,112	
0,03394515	151,9504	
0,03594795	164,1848	
0,03795075	176,6824	
0,03995355	189,4968	
0,0419634	202,6008	
0,0439521	216,232	
0,04594785	230,18	
0,04794345	244,576	
0,0499392	259,4472	
0,0519633	274,74	
0,0539589	290,4016	
0,05595465	306,564	
0,0579504	323,0168	
0,05994615	339,812	
0,0619419	357,0296	
0,06394455	374,7216	
0,0659403	392,8352	
0,06795015	411,292	
0,06995295	430,4872	
0,07207605	451,2904	
0,07394445	469,9576	
0,07594725	490,26	
0,07794285	511,0104	
0,07994565	532,0512	
0,08195565	553,54	
0,0839583	575,3184	
0,085947	597,44	
0,08794275	619,6408	
0,08994555	641,9472	
0,09194835	665,044	
0,09395115	689,9344	
0,09594675	716,5904	
0,09794955	743,6424	
0,0999453	770,6952	
0,1019481	798,0104	
0,10394385	825,432	
0,10594665	853,04	
0,10794945	880,752	
0,10994505	908,432	
0,11195505	936,28	
0,11395785	964,12	
0,1159464	992,04	
0,11794215	1019,968	
0,119952	1048,096	
0,1219548	1076,336	
0,12395055	1104,472	
0,1259604	1132,336	
0,12795615	1160,024	
0,12995175	1187,864	
0,1319475	1215,656	
0,13395735	1243,24	
0,1359531	1270,872	
0,13794885	1298,264	
0,13995165	1325,264	
0,14195445	1351,944	
0,14395005	1378,336	
0,1459458	1404,472	
0,1479486	1430,336	
0,1499514	1455,96	
0,1519545	1481,168	
0,153957	1506,112	
0,155952	1530,576	
0,1579485	1554,728	
0,1599435	1578,464	
0,1619535	1601,72	
0,1639575	1624,288	
0,1659525	1646,168	
0,1679475	1667,32	
0,1699515	1687,432	
0,171954	1706,784	
0,173949	1725,088	
0,175953	1742,28	
0,177948	1758,544	
