Datum	05.11.10	
Uhrzeit	12:48:26	
Probenkennz.	HDPE	
Probenhšhe a0	4	mm
Probenbreite b0	10,1	mm
LŠnge l0	70	mm
Probenhšhe aU NACH dem Versuch	1	mm
Probenbreite bU NACH dem Versuch	4,5	mm
LŠnge lU NACH dem Versuch	99,6	mm
Geschwindigkeit	20	mm/min
Kraftmaximum	1281,42	N
Standardweg	Standardkraft	
mm	N	
0,017161	1,05461	
0,028956	5,40489	
0,040751	8,93126	
0,0536311	12,4247	
0,0667944	15,4896	
0,0809012	17,0056	
0,0934039	18,258	
0,106709	20,3672	
0,120013	23,9265	
0,133318	26,8926	
0,146623	29,2985	
0,159975	31,3418	
0,173327	33,4181	
0,186679	35,5932	
0,200031	37,8672	
0,213335	40,1083	
0,22664	42,2504	
0,240039	44,2938	
0,253297	46,2712	
0,266696	48,3145	
0,280048	50,3907	
0,293353	52,8295	
0,306657	55,7627	
0,319962	58,8606	
0,333267	61,9585	
0,346666	64,8258	
0,360065	67,5612	
0,37337	69,934	
0,386675	71,2194	
0,400027	71,6148	
0,413331	71,7467	
0,426636	71,9774	
0,439988	72,274	
0,45334	73,1308	
0,466692	73,4934	
0,480044	73,9877	
0,493349	75,273	
0,506701	77,8436	
0,519958	80,8097	
0,53331	84,0395	
0,546615	87,2033	
0,560014	90,6967	
0,573366	94,1242	
0,586718	97,6835	
0,600023	101,111	
0,613327	104,341	
0,626632	107,834	
0,639984	111,229	
0,653383	114,426	
0,666688	118,15	
0,68004	121,94	
0,693298	125,861	
0,706649	129,915	
0,719954	133,804	
0,733306	137,693	
0,746705	141,549	
0,760057	145,207	
0,773362	148,997	
0,786667	152,886	
0,799972	156,544	
0,813276	160,301	
0,826628	164,124	
0,840027	167,914	
0,853379	171,803	
0,866684	175,626	
0,880036	179,317	
0,893294	183,14	
0,906646	186,93	
0,91995	190,753	
0,933302	194,51	
0,946701	198,333	
0,960006	202,024	
0,973358	205,781	
0,986616	209,538	
0,999968	213,164	
1,01332	216,954	
1,02667	220,678	
1,04002	224,303	
1,05333	228,126	
1,06753	232,114	
1,07998	235,541	
1,09329	239,331	
1,10659	243,055	
1,11999	246,582	
1,13335	250,306	
1,1467	253,997	
1,16005	257,655	
1,17331	261,182	
1,18661	264,84	
1,20001	268,366	
1,21336	272,057	
1,22667	275,682	
1,24002	279,209	
1,25332	282,966	
1,26668	286,558	
1,27998	290,118	
1,29333	293,644	
1,30664	297,203	
1,31999	300,697	
1,33339	304,355	
1,34669	307,815	
1,36665	312,924	
1,37996	316,318	
1,39331	319,91	
1,40666	323,404	
1,42001	326,897	
1,43336	330,391	
1,44667	333,884	
1,45997	337,377	
1,47332	340,739	
1,48663	344,199	
1,50003	347,594	
1,51333	351,021	
1,52673	354,482	
1,54004	357,876	
1,55329	361,172	
1,56665	364,501	
1,58	367,895	
1,59335	371,323	
1,6067	374,618	
1,62001	377,914	
1,64001	382,891	
1,65327	386,252	
1,66667	389,614	
1,68002	392,975	
1,69337	396,271	
1,70668	399,501	
1,72003	402,763	
1,73333	405,96	
1,74664	409,19	
1,75999	412,387	
1,77334	415,551	
1,78665	418,747	
1,80005	421,944	
1,81335	425,273	
1,82666	428,47	
1,83996	431,666	
1,85331	434,896	
1,86751	438,291	
1,88667	442,938	
1,90002	446,068	
1,91333	449,166	
1,92663	452,198	
1,93993	455,329	
1,95333	458,46	
1,96664	461,558	
1,98004	464,557	
1,99334	467,655	
2,00754	470,918	
2,02665	475,4	
2,03996	478,399	
2,05331	481,398	
2,06671	484,43	
2,08006	487,462	
2,09336	490,461	
2,10667	493,46	
2,11997	496,393	
2,13333	499,425	
2,15333	503,743	
2,16668	506,742	
2,18003	509,675	
2,19334	512,575	
2,20664	515,442	
2,22	518,342	
2,2333	521,243	
2,2467	524,209	
2,25996	527,076	
2,27336	529,976	
2,28671	532,843	
2,30001	535,711	
2,31332	538,611	
2,32667	541,511	
2,33997	544,312	
2,35337	547,212	
2,36672	550,014	
2,38003	552,848	
2,39333	555,715	
2,40744	558,615	
2,42664	562,702	
2,44	565,536	
2,45335	568,338	
2,4667	571,106	
2,48005	573,907	
2,49336	576,577	
2,50661	579,378	
2,52001	582,114	
2,53332	584,915	
2,54667	587,617	
2,56667	591,704	
2,58003	594,472	
2,59328	597,175	
2,60664	600,009	
2,61994	602,679	
2,63334	605,414	
2,64669	608,083	
2,66	610,786	
2,6733	613,356	
2,68661	615,993	
2,70666	619,849	
2,72006	622,387	
2,73341	625,056	
2,74671	627,759	
2,76002	630,428	
2,77332	633,032	
2,78663	635,602	
2,80003	638,272	
2,81333	640,809	
2,82668	643,413	
2,84003	645,918	
2,85334	648,356	
2,86669	650,927	
2,88	653,498	
2,8933	655,904	
2,90665	658,441	
2,92	660,979	
2,93336	663,549	
2,94666	666,021	
2,96001	668,46	
2,97327	670,965	
2,98667	673,404	
2,99997	675,875	
3,01333	678,314	
3,02668	680,687	
3,04003	682,994	
3,05334	685,334	
3,06664	687,707	
3,08084	690,244	
3,1	693,804	
3,11335	696,177	
3,1267	698,648	
3,14001	700,955	
3,15336	703,361	
3,16661	705,635	
3,18001	708,008	
3,19332	710,348	
3,20662	712,589	
3,22002	714,83	
3,23333	717,104	
3,24668	719,477	
3,25994	721,652	
3,27334	723,86	
3,28669	726,134	
3,30009	728,375	
3,31334	730,649	
3,32665	732,857	
3,34	735,164	
3,35331	737,372	
3,37331	740,734	
3,38671	743,041	
3,40001	745,216	
3,41337	747,358	
3,42667	749,533	
3,43998	751,643	
3,45328	753,818	
3,46663	755,993	
3,48003	758,135	
3,49334	760,31	
3,50669	762,386	
3,51999	764,496	
3,5333	766,605	
3,5466	768,747	
3,55995	770,823	
3,57335	772,933	
3,58671	775,042	
3,60001	777,118	
3,61336	779,128	
3,62667	781,205	
3,64667	784,336	
3,65998	786,313	
3,67333	788,323	
3,68673	790,367	
3,70008	792,377	
3,71334	794,387	
3,72664	796,431	
3,73995	798,474	
3,75335	800,484	
3,7667	802,528	
3,78	804,505	
3,79335	806,483	
3,80671	808,361	
3,81996	810,273	
3,83332	812,283	
3,84671	814,194	
3,85997	816,073	
3,87337	818,017	
3,88672	819,896	
3,90003	821,84	
3,91994	824,675	
3,93334	826,685	
3,94669	828,596	
3,95999	830,541	
3,97339	832,386	
3,9867	834,166	
4,00005	835,913	
4,01331	837,791	
4,02661	839,637	
4,04001	841,45	
4,05332	843,295	
4,06671	845,108	
4,08002	846,953	
4,09337	848,799	
4,10663	850,644	
4,11998	852,457	
4,13333	854,336	
4,14668	856,148	
4,15999	857,928	
4,17334	859,708	
4,1933	862,212	
4,20665	863,86	
4,22	865,64	
4,23335	867,419	
4,24675	869,199	
4,26006	870,946	
4,27336	872,725	
4,28667	874,472	
4,29997	876,219	
4,31332	877,9	
4,32668	879,613	
4,33998	881,327	
4,35338	882,975	
4,36664	884,689	
4,37999	886,304	
4,39329	887,951	
4,40665	889,599	
4,42	891,313	
4,43335	893,06	
4,4467	894,74	
4,46001	896,388	
4,47336	897,937	
4,48662	899,585	
4,50002	901,2	
4,51337	902,815	
4,52667	904,43	
4,54002	906,012	
4,55338	907,561	
4,56663	909,208	
4,57994	910,79	
4,59334	912,339	
4,60664	913,954	
4,62004	915,602	
4,63339	917,151	
4,64665	918,766	
4,66005	920,348	
4,67331	921,897	
4,68666	923,413	
4,70086	925,094	
4,72002	927,368	
4,73342	928,884	
4,74667	930,433	
4,75998	931,883	
4,77328	933,267	
4,78663	934,849	
4,80003	936,365	
4,81334	937,848	
4,82669	939,331	
4,83999	940,814	
4,85335	942,264	
4,8666	943,813	
4,88	945,395	
4,89336	946,845	
