Probenkennz.	Baustahl	
Datum	02.08.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	4251,6396	N
Probenhoehe a0	1	mm
Probenbreite b0	12,96	mm
Laenge l0	70	mm
Probenhoehe a0 NACH ZUGVERSUCH	0,8	mm
Probenbreite b0 NACH ZUGVERSUCH	8,84	mm
Laenge l0 NACH ZUGVERSUCH	85,84	mm
Standardweg	Standardkraft	
mm	N	
0	0	
0,00052905	3,84582432	
0,00187457	3,06590784	
0,002924234	4,78711296	
0,004022534	5,48635152	
0,005145144	2,71628448	
0,006279917	2,90454384	
0,007418745	10,7306448	
0,008561627	23,3170368	
0,009704467	33,482928	
0,010847366	42,8688864	
0,01199834	52,6582752	
0,013145277	63,5771712	
0,014288177	74,4422928	
0,015435113	85,441728	
0,016578013	98,5932	
0,017793841	116,585184	
0,018867763	134,254032	
0,0200147	153,133824	
0,021161637	171,878976	
0,022308574	190,973376	
0,023447436	210,660192	
0,024594373	231,207072	
0,025741309	252,775584	
0,026884123	275,4204	
0,02803106	298,87224	
0,029177997	323,076432	
0,030324933	348,141504	
0,031467833	374,175168	
0,032610732	401,230464	
0,033753632	429,145824	
0,034900483	458,029776	
0,036051543	487,666896	
0,03719848	518,057184	
0,038341293	549,254496	
0,039484193	581,284944	
0,04063113	614,06856	
0,041769992	647,713056	
0,042920966	682,271472	
0,044067903	717,421488	
0,045210716	753,056208	
0,046357653	789,336384	
0,04750459	826,10208	
0,048643452	863,23824	
0,049790389	900,83952	
0,050933288	939,10992	
0,052080139	977,88624	
0,053227076	1017,12768	
0,054374013	1056,85056	
0,055516912	1096,97328	
0,056659812	1137,56112	
0,057806749	1178,32848	
0,058953685	1219,47936	
0,060100622	1260,89136	
0,061247559	1302,44208	
0,062394496	1343,83776	
0,063537309	1385,22528	
0,064680209	1427,06976	
0,065827146	1469,50992	
0,066974083	1512,6192	
0,068116982	1556,05488	
0,069263919	1599,59664	
0,070410856	1643,40768	
0,071553669	1687,56144	
0,072696569	1732,23744	
0,073839468	1777,19904	
0,074986405	1822,5768	
0,076133342	1868,34624	
0,077280279	1914,31152	
0,078423178	1960,40736	
0,079570029	2006,87856	
0,080716966	2053,7496	
0,081859865	2101,06128	
0,083006802	2148,6096	
0,084153739	2196,4272	
0,085296638	2244,3264	
0,086447183	2291,9808	
0,087590512	2339,25984	
0,088732982	2386,58784	
0,089876311	2434,13616	
0,091023076	2481,84768	
0,092169841	2529,6408	
0,093316606	2577,132	
0,09446423	2623,95408	
0,0956067	2670,18864	
0,096750029	2715,74592	
0,097892499	2760,22608	
0,099043559	2803,2864	
0,100190324	2844,62496	
0,101333653	2884,12752	
0,102476123	2921,08416	
0,103622888	2954,58912	
0,104842668	2986,13568	
0,105912982	3009,64464	
0,107059747	3029,05728	
0,108206512	3041,42784	
0,109349841	3046,29936	
0,110500901	3043,20672	
0,111643371	3033,97776	
0,1127867	3022,14576	
0,11392917	3010,99104	
0,115075935	3002,00688	
0,116226995	2995,03824	
0,117366029	2989,39152	
0,118517089	2984,6016	
0,119656123	2981,02752	
0,120802888	2979,11808	
0,17393	2966,098291	
0,18648	2968,066483	
0,19979	2968,840051	
0,21305	2968,683379	
0,22635	2968,164403	
0,23975	2967,713971	
0,2531	2967,518131	
0,26645	2968,164403	
0,27976	2969,231731	
0,29306	2971,229299	
0,30722	2973,550003	
0,31977	2976,164467	
0,33307	2978,494963	
0,34642	2980,463155	
0,35978	2981,755699	
0,37313	2982,588019	
0,38648	2982,588019	
0,39974	2981,755699	
0,41304	2980,296691	
0,42639	2978,103283	
0,4406	2974,881715	
0,45315	2971,944115	
0,46645	2969,261107	
0,47976	2966,969779	
0,49306	2965,324723	
0,50641	2964,649075	
0,51976	2964,678451	
0,53312	2964,874291	
0,54642	2965,745779	
0,55977	2966,813107	
0,57312	2967,909811	
0,58638	2969,104435	
0,59973	2970,847411	
0,61304	2972,942899	
0,62644	2975,038387	
0,63979	2977,035955	
0,65314	2978,818099	
0,66645	2980,365235	
0,67975	2981,843827	
0,69306	2983,498675	
0,70726	2985,329779	
0,71981	2986,847539	
0,73316	2988,335923	
0,74642	2990,137651	
0,75977	2991,851251	
0,77307	2993,662771	
0,78638	2995,885555	
0,79978	2998,470643	
0,81308	3001,143859	
0,82643	3003,885619	
0,84063	3006,666547	
0,85314	3009,153715	
0,86649	3011,445043	
0,87975	3013,569907	
0,89305	3015,214963	
0,90645	3016,448755	
0,9198	3017,222323	
0,93315	3018,377779	
0,94646	3019,797619	
0,95976	3021,256627	
0,97307	3023,254195	
0,98642	3025,868659	
1,00647	3029,971507	
1,01982	3032,644723	
1,03308	3035,552947	
1,04643	3038,490547	
1,09975	3050,426995	
1,1131	3052,365811	
1,12645	3053,785651	
1,14646	3054,980275	
1,15976	3056,008435	
1,17307	3057,467443	
1,18642	3059,171251	
1,19977	3060,855475	
1,21312	3062,206771	
1,22638	3063,430771	
1,23973	3064,370803	
1,25393	3065,144371	
1,26639	3066,113779	
1,27974	3067,367155	
1,29314	3068,953459	
1,30649	3070,990195	
1,31979	3073,506739	
1,3331	3076,150579	
1,3464	3078,862963	
1,35966	3081,898483	
1,37311	3084,963379	
1,38646	3087,989107	
1,39977	3090,867955	
1,41982	3095,000179	
1,43307	3097,546099	
1,44638	3099,935347	
1,45973	3102,324595	
1,47313	3104,518003	
1,48648	3105,967219	
1,49979	3106,642867	
1,497895	3120,476832	
1,506652	3125,36376	
1,515962	3130,72488	
1,525307	3136,13496	
1,534624	3141,9	
1,543934	3147,5916	
1,553314	3153,11184	
1,562631	3158,2404	
1,571941	3163,16088	
1,581258	3167,83656	
1,591198	3172,5612	
1,599948	3176,6004	
1,609328	3180,59064	
1,618638	3184,74	
1,62799	3188,7792	
1,6373	3192,97752	
1,646645	3197,09016	
1,655927	3201,28848	
1,665272	3205,19304	
1,674617	3209,23224	
1,684564	3213,22248	
1,693314	3216,41712	
1,702624	3219,91776	
1,711941	3223,46736	
1,721251	3227,26176	
1,730631	3231,05616	
1,739976	3235,09536	
1,749328	3238,92648	
1,758673	3242,67192	
1,768543	3246,50304	
1,777265	3250,05264	
1,786575	3253,88376	
1,79599	3257,60472	
1,805307	3261,10536	
1,814652	3264,5448	
1,823962	3267,8496	
1,833279	3271,19112	
1,842624	3274,9488	
1,851934	3278,81664	
1,861874	3282,77016	
1,875321	3288,05784	
1,884631	3291,57072	
1,893976	3294,91224	
1,903293	3298,10688	
1,912603	3301,5708	
1,921955	3305,04696	
1,9313	3308,47416	
1,940645	3312,02376	
1,950025	3315,12048	
1,963997	3319,9308	
1,973272	3323,79864	
1,982617	3327,78888	
1,991969	3331,66896	
2,001279	3335,09616	
2,010624	3338,76816	
2,020004	3341,91384	
2,029321	3344,86368	
2,038631	3347,92368	
2,047913	3351,19176	
2,061948	3356,14896	
2,071293	3359,57616	
2,080645	3363,08904	
2,08999	3366,84672	
2,0993	3370,55544	
2,108582	3374,34984	
2,117927	3378,02184	
2,127244	3381,52248	
2,137212	3384,87624	
2,145969	3387,9852	
2,155314	3391,0452	
2,164624	3393,90936	
2,173941	3396,82248	
2,183286	3400,07832	
2,192631	3403,4688	
2,201948	3406,85928	
2,211328	3410,49456	
2,220673	3414,00744	
2,229983	3417,31224	
2,243955	3422,23272	
2,2533	3425,41512	
2,262617	3428,32824	
2,271962	3430,8252	
2,281272	3433,44456	
2,290652	3436,18632	
2,299969	3438,97704	
2,309279	3442,00032	
2,319191	3445,62336	
2,327976	3448,78128	
2,337321	3452,0004	
2,346666	3455,26848	
2,355948	3458,41416	
2,365293	3461,32728	
2,374603	3464,35056	
2,383955	3467,45952	
2,3933	3470,4828	
2,402645	3472,97976	
2,41199	3475,52568	
2,421307	3478,18176	
2,430617	3481,0092	
2,439962	3484,39968	
2,449279	3488,14512	
2,458624	3491,62128	
2,467969	3494,76696	
2,477349	3497,54544	
2,487226	3500,49528	
2,495941	3503,11464	
2,505293	3505,69728	
2,514568	3508,47576	
2,523948	3511,1808	
